# Simulation 1 (Up to date)
# 786 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.3083,450.6395,83.2797,-29.8379
3.3583,454.7665,81.8064,-29.0973
3.4083,458.8207,80.3695,-28.3903
3.4583,462.804,78.9665,-27.7371
3.5083,466.7179,77.5953,-27.1162
3.5583,470.564,76.2544,-26.521
3.6083,474.3438,74.9432,-25.9327
3.6583,478.0588,73.6602,-25.3891
3.7083,481.7103,72.4045,-24.8394
3.7583,485.2997,71.176,-24.3025
3.8083,488.8283,69.9739,-23.7879
3.855,492.0716,68.8731,-23.3418
3.9034,495.375,67.7545,-22.9262
3.9534,498.7342,66.6189,-22.5015
4.0034,502.0372,65.5042,-22.0827
4.0521,505.2019,64.4389,-21.6574
4.1021,508.397,63.3666,-21.2401
4.1521,511.5389,62.3147,-20.842
4.2021,514.6288,61.2819,-20.4725
4.2521,517.6674,60.2673,-20.1128
4.3021,520.6558,59.2701,-19.7781
4.3521,523.5947,58.2889,-19.4739
4.4021,526.485,57.3228,-19.1686
4.4521,529.3273,56.3723,-18.8506
4.5021,532.1224,55.4377,-18.5372
4.5521,534.8713,54.5185,-18.231
4.6021,537.5745,53.6143,-17.9406
4.6521,540.233,52.7242,-17.6661
4.7021,542.8472,51.8475,-17.402
4.7521,545.4179,50.9835,-17.1594
4.8021,547.9457,50.1317,-16.9168
4.8521,550.4313,49.2917,-16.6815
4.9021,552.8751,48.4631,-16.4643
4.9521,555.2778,47.6459,-16.2251
5.0021,557.6399,46.8403,-15.9976
5.0521,559.962,46.0459,-15.7824
5.1021,562.2446,45.262,-15.5735
5.1521,564.4884,44.4884,-15.3733
5.2021,566.6936,43.7245,-15.1811
5.2521,568.861,42.97,-15.0013
5.3021,570.9908,42.2242,-14.8307
5.3521,573.0835,41.4871,-14.6538
5.4021,575.1397,40.759,-14.4739
5.4521,577.1596,40.0393,-14.3159
5.5021,579.1437,39.3275,-14.1536
5.5521,581.0925,38.6238,-13.9968
5.6021,583.0062,37.9275,-13.8542
5.6521,584.8853,37.2386,-13.7036
5.7021,586.7302,36.5572,-13.5549
5.7521,588.5412,35.8829,-13.4184
5.8021,590.3186,35.2151,-13.2918
5.8521,592.0628,34.5536,-13.1678
5.9021,593.7741,33.8986,-13.0353
5.9521,595.4528,33.2499,-12.9132
6.0021,597.0992,32.6073,-12.7906
6.0521,598.7136,31.9708,-12.6688
6.1021,600.2964,31.3405,-12.5466
6.1521,601.8477,30.7158,-12.4392
6.2021,603.368,30.0968,-12.3214
6.2521,604.8575,29.4834,-12.2186
6.3021,606.3164,28.8749,-12.1207
6.3521,607.7451,28.2712,-12.0291
6.4021,609.1436,27.6718,-11.948
6.4521,610.5123,27.0764,-11.8651
6.5021,611.8514,26.4855,-11.7741
6.5521,613.1609,25.8989,-11.6891
# Event EJECTION_CHARGE occurred at t=6.6 seconds
6.6,614.388,25.3409,-11.6111
6.65,615.6406,24.7623,-11.5338
6.7,616.8643,24.188,-11.4405
6.75,618.0594,23.6181,-11.3544
6.8,619.2262,23.0523,-11.2795
6.85,620.3647,22.49,-11.2101
6.9,621.4753,21.9313,-11.1395
6.95,622.5579,21.3761,-11.0714
7,623.6129,20.8241,-11.0066
7.05,624.6404,20.2754,-10.9413
7.1,625.6405,19.7298,-10.8823
7.15,626.6134,19.1874,-10.8164
7.2,627.5593,18.648,-10.759
7.25,628.4783,18.1115,-10.7018
7.3,629.3705,17.5778,-10.6454
7.35,630.2361,17.0468,-10.5984
7.4,631.0752,16.518,-10.5533
7.45,631.8879,15.9914,-10.5095
7.5,632.6744,15.467,-10.4658
7.55,633.4347,14.9449,-10.4208
7.6,634.1689,14.4246,-10.3923
7.65,634.8772,13.9062,-10.3428
7.7,635.5596,13.3902,-10.2983
7.75,636.2162,12.8763,-10.2589
7.8,636.8472,12.3643,-10.2183
7.85,637.4527,11.8542,-10.1873
7.9,638.0327,11.3456,-10.1579
7.95,638.5873,10.8385,-10.127
8,639.1165,10.3329,-10.0935
8.05,639.6206,9.8289,-10.0691
8.1,640.0995,9.3263,-10.0358
8.15,640.5532,8.825,-10.0134
8.2,640.982,8.3251,-9.9856
8.25,641.3858,7.8264,-9.9617
8.3,641.7646,7.3289,-9.9392
8.35,642.1187,6.8325,-9.9157
8.4,642.4479,6.3372,-9.8962
8.45,642.7524,5.8429,-9.8761
8.5,643.0322,5.3496,-9.8581
8.55,643.2874,4.857,-9.844
8.6,643.5179,4.3652,-9.8296
8.65,643.7239,3.8742,-9.8093
8.7,643.9054,3.3841,-9.7943
8.75,644.0623,2.8948,-9.7782
8.8,644.1949,2.4068,-9.7411
8.85,644.303,1.9202,-9.7249
8.9,644.3869,1.4343,-9.7099
8.95,644.4465,0.949,-9.7015
9,644.4817,0.4609,-9.7717
# Event APOGEE occurred at t=9.05 seconds
9.05,644.4926,-0.0275,-9.7655
9.1,644.479,-0.5157,-9.7624
9.15,644.441,-1.0037,-9.7583
9.2,644.3786,-1.4914,-9.749
9.25,644.2919,-1.9786,-9.7363
9.3,644.1808,-2.4648,-9.7112
9.35,644.0454,-2.9497,-9.6822
9.4,643.8858,-3.4329,-9.6457
9.45,643.7022,-3.9141,-9.5997
9.5,643.4945,-4.3929,-9.5513
9.55,643.2629,-4.8691,-9.4979
9.6,643.0076,-5.3422,-9.4213
9.65,642.7288,-5.8113,-9.3427
9.7,642.4266,-6.2758,-9.2329
9.75,642.1013,-6.7349,-9.1278
9.8,641.7532,-7.1883,-9.0051
9.85,641.3826,-7.6351,-8.863
9.9,640.9898,-8.0738,-8.6819
9.95,640.5753,-8.5032,-8.4884
10,640.1397,-8.9216,-8.2399
10.05,639.6834,-9.3257,-7.9157
10.1,639.2074,-9.7131,-7.5722
10.1463,638.7499,-10.0554,-7.2134
10.1881,638.3228,-10.3496,-6.8357
10.2265,637.9203,-10.6048,-6.4454
10.2622,637.5381,-10.8276,-6.047
10.2956,637.1728,-11.0232,-5.6445
10.3273,636.8215,-11.1955,-5.2551
10.3574,636.4815,-11.3481,-4.8589
10.3864,636.1512,-11.4829,-4.4523
10.4142,635.8294,-11.6012,-4.0242
10.4412,635.5154,-11.7037,-3.5833
10.4673,635.2082,-11.7917,-3.1447
10.4928,634.9065,-11.8665,-2.7184
10.5178,634.6091,-11.9294,-2.3204
10.5425,634.3144,-11.982,-1.9495
10.5669,634.021,-12.0253,-1.6001
10.5912,633.7278,-12.0604,-1.287
10.6156,633.4333,-12.0885,-1.027
10.6402,633.1356,-12.1111,-0.8198
10.6652,632.8329,-12.1295,-0.6693
10.6905,632.5261,-12.1452,-0.5878
10.715,632.2287,-12.1594,-0.582
10.7387,631.9396,-12.1739,-0.6474
10.7619,631.6578,-12.1903,-0.7781
10.7844,631.3824,-12.2098,-0.9679
10.8065,631.1126,-12.2338,-1.2118
10.8281,630.8477,-12.2631,-1.501
10.8494,630.5869,-12.2984,-1.8334
10.8703,630.3297,-12.3407,-2.2233
10.8908,630.0755,-12.3906,-2.6456
10.9111,629.8238,-12.4487,-3.0913
10.9311,629.5741,-12.5152,-3.5532
10.9509,629.326,-12.59,-4.0257
10.9704,629.0791,-12.6735,-4.5113
10.9897,628.8331,-12.7584,-2.8353
11.0089,628.5886,-12.8214,-3.7471
11.0276,628.3483,-12.8993,-4.5786
11.0459,628.1108,-12.9904,-5.3324
11.064,627.8753,-13.0926,-5.9687
11.0818,627.641,-13.204,-6.5258
